Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
49.743256,0.007641357,36.586279852926666,-121.75679490807212,0,1,6069.704,0.05578882,5,1,false,false,2.1915803,1.95253,10.995266,-0.11628577,0.061151884,3
49.77164,0.007874898,36.58627345472036,-121.75679971308985,0,1,6064.752,0.053076833,5,1,false,false,1.9090235,2.2635088,9.780326,-0.115189135,0.062530644,3
49.801834,0.008108569,36.586267056376556,-121.7568044062559,0,1,6044.7144,0.05346407,5,1,false,false,1.8105824,2.1641486,8.961933,-0.11418199,0.054753613,3
49.82874,0.008342376,36.586260658170254,-121.7568092111031,0,1,6039.133,0.054626536,5,1,false,false,2.0305161,1.9671898,10.8166485,-0.11334756,0.04722278,3
49.85192,0.0085763335,36.58625425982645,-121.75681401612083,0,1,6049.2725,0.055595014,5,1,false,false,2.4574866,1.7271543,11.976936,-0.112587005,0.047440697,3
49.872616,0.008810389,36.58624777141547,-121.75681870928688,0,1,6059.4473,0.059663475,5,1,false,false,2.319975,1.6727357,11.777014,-0.111763686,0.0509251,3
49.894997,0.009044544,36.58624137320918,-121.75682351413408,0,1,6078.303,0.0631505,5,1,false,false,2.5263612,1.9455001,11.308749,-0.11080738,0.05786332,3
49.92213,0.009278812,36.5862348847982,-121.75682820730015,0,1,6076.3496,0.065281436,5,1,false,false,2.5067565,2.139873,11.7606945,-0.10972737,0.06210899,3
49.95033,0.00951324,36.586228486454395,-121.75683290063671,0,1,6052.3267,0.06993097,5,1,false,false,2.91124,2.1871192,12.312642,-0.10864094,0.06186094,3
49.97668,0.009747789,36.58622199804342,-121.75683770548392,0,1,6052.111,0.073418185,5,1,false,false,2.9162135,1.9488945,12.110889,-0.10752246,0.06434579,3
49.999302,0.009982444,36.58621550963245,-121.75684239864997,0,1,6058.8447,0.07593673,5,1,false,false,2.8538392,1.8565083,12.696637,-0.10638505,0.06606911,3
50.022144,0.010217213,36.58620911142615,-121.75684709181603,0,1,6059.717,0.07613057,5,1,false,false,2.7584963,1.8841823,11.96955,-0.10518754,0.070380084,3
50.0452,0.010452109,36.586202623015176,-121.75685178498209,0,1,6062.415,0.07341816,5,1,false,false,2.877077,1.8588762,12.850051,-0.103968084,0.072909184,3
50.067234,0.010687094,36.58619613460421,-121.75685647814814,0,1,6066.006,0.07109342,5,1,false,false,2.6472113,1.9118447,13.285838,-0.10270599,0.073587485,3
50.08988,0.010922177,36.58618964619323,-121.7568611714847,0,1,6071.493,0.06780003,5,1,false,false,2.7093782,1.8405766,11.889516,-0.101433665,0.072685294,3
50.111702,0.011157395,36.586183157782266,-121.75686586465076,0,1,6073.6064,0.06198824,5,1,false,false,2.6934462,1.8875937,10.815391,-0.10016814,0.07428839,3
