Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
49.837444,0.00734782,36.58629859720975,-121.75681088734345,0,0.94445825,6067.857,0.166589,5,1,false,false,6.0855694,1.9296747,8.920757,-0.1312509,0.16246405,3
49.860115,0.0075807534,36.58629228907061,-121.75681591572348,0,0.94419324,6069.984,0.16950735,5,1,false,false,6.717003,1.8976033,10.454254,-0.12860744,0.15752117,3
49.881985,0.007813795,36.58628589086431,-121.75682083242235,0,0.9436326,6067.535,0.16756177,5,1,false,false,7.7419543,1.8488226,11.279876,-0.12593144,0.16627277,3
49.902138,0.0080469195,36.586279582587665,-121.7568257489507,0,0.94251096,6076.0264,0.16683224,5,1,false,false,7.595441,1.7662692,11.716679,-0.12303058,0.17984551,3
49.922764,0.00828014,36.58627327444853,-121.75683066564957,0,0.9432586,6085.2627,0.16367069,5,1,false,false,7.431929,1.9524621,10.41713,-0.11988002,0.19309731,3
49.947502,0.008513465,36.58626687624223,-121.75683558234844,0,0.9422927,6079.1694,0.14689015,5,1,false,false,7.6089387,2.1277459,11.755306,-0.11659948,0.19374421,3
49.97234,0.008746918,36.58626047789842,-121.75684049904731,0,0.94238603,6061.6934,0.10627646,5,1,false,false,7.9533463,2.0777617,13.375261,-0.11341364,0.18353191,3
49.99429,0.008980459,36.586254079554614,-121.75684530389452,0,0.94258857,6060.1567,0.056664515,5,1,false,false,7.5167975,1.8309934,12.521504,-0.110453166,0.16545114,3
50.014404,0.009214093,36.58624768134831,-121.75685010891225,0,0.941607,6069.3296,0.016537275,5,1,false,false,6.2464237,1.8544345,11.161133,-0.10790244,0.13404232,3
50.03641,0.009447827,36.586241283004505,-121.75685491375945,0,0.9417784,6069.323,-0.019698808,5,1,false,false,5.3087215,1.9854457,11.743938,-0.10595562,0.092600904,3
50.059685,0.009681664,36.58623479459353,-121.75685971877716,0,0.94198096,6060.211,-0.034533713,5,1,false,false,4.9729652,1.9687352,12.035952,-0.10478968,0.046407953,3
50.08082,0.009915593,36.58622839638723,-121.75686452362439,0,0.9424485,6060.955,-0.02164437,5,1,false,false,4.7077036,1.7391512,10.326083,-0.104377866,0.0072911824,3
50.09793,0.010149604,36.58622190797626,-121.7568693286421,0,0.9427911,6080.5024,0.0046207123,5,1,false,false,4.2240744,1.6146984,13.0358305,-0.10440996,-0.008373648,3
50.117588,0.010383706,36.58621550963245,-121.7568741334893,0,0.94280696,6094.5767,0.039640844,5,1,false,false,4.2997103,1.8046958,12.358329,-0.104506806,-0.004745911,3
50.138367,0.010617884,36.58620902122148,-121.75687882665537,0,0.9439909,6091.648,0.07222904,5,1,false,false,4.538801,1.8412803,10.872428,-0.10443961,0.010483395,3
50.162174,0.010852162,36.586202532948015,-121.75688363167308,0,0.94466066,6097.5596,0.0909551,5,1,false,false,4.492335,2.072669,10.029916,-0.104067326,0.028328216,3
50.187126,0.011086557,36.58619604453704,-121.75688832483914,0,0.94536173,6087.926,0.10335808,5,1,false,false,3.8822136,2.001526,10.505368,-0.10345856,0.038625166,3
50.21047,0.01132106,36.58618955612607,-121.75689301800519,0,0.94637465,6077.976,0.10579005,5,1,false,false,4.049203,1.8782883,11.270566,-0.10270262,0.050575405,3
50.230183,0.011555657,36.5861830677151,-121.75689771117125,0,0.94589174,6089.396,0.09873735,5,1,false,false,3.7376602,1.668559,11.570049,-0.10173348,0.064119145,3
50.249313,0.011790332,36.58617648909946,-121.7569024043373,0,0.9468575,6104.003,0.08803674,5,1,false,false,3.3560112,1.76159,11.04384,-0.10053301,0.07553987,3
50.27036,0.012025104,36.586170000825994,-121.75690709767386,0,0.946982,6105.7793,0.07976812,5,1,false,false,3.1756659,1.8811865,11.009686,-0.099186875,0.08141661,3
50.292934,0.012259967,36.58616351241502,-121.75691179083992,0,0.94874275,6103.4136,0.06590596,5,1,false,false,3.0155127,1.9307487,11.362161,-0.09777086,0.08337177,3
50.315243,0.012494923,36.58615693379938,-121.75691648400597,0,0.9491632,6103.3374,0.056664534,5,1,false,false,2.984391,1.8668776,11.250936,-0.09637292,0.08065649,3
50.3363,0.012729979,36.586150355321244,-121.75692117717203,0,0.94966185,6105.2495,0.053746175,5,1,false,false,2.6769085,1.8458394,10.479189,-0.095034994,0.07601535,3
50.356636,0.012965119,36.58614386691027,-121.75692587033808,0,0.950768,6111.6074,0.057394113,5,1,false,false,2.9193292,1.7935945,13.360062,-0.093782134,0.07261942,3
50.37736,0.013200342,36.586137288432134,-121.75693045182298,0,0.95115745,6114.1836,0.06639235,5,1,false,false,3.1537108,1.8327835,12.317259,-0.092527814,0.07444665,3
50.398396,0.0134356385,36.586130709954,-121.75693514498904,0,0.95298034,6115.766,0.075633764,5,1,false,false,3.4051952,1.8440666,12.062394,-0.091200426,0.07875288,3
50.419247,0.013671033,36.58612413133836,-121.75693972647395,0,0.95407104,6120.891,0.07684976,5,1,false,false,3.4737802,2.0410297,11.7511425,-0.08977332,0.0843375,3
50.442196,0.013906513,36.58611755286022,-121.75694441964,0,0.9546474,6115.3564,0.075390585,5,1,false,false,3.4425502,1.9127789,12.752193,-0.088310495,0.082928166,3
50.463585,0.014142069,36.58611097438209,-121.75694900112491,0,0.9556133,6107.174,0.07344499,5,1,false,false,3.6401715,1.8778162,12.051707,-0.08687926,0.08209518,3
50.482628,0.014377702,36.58610439576644,-121.7569535824393,0,0.95611185,6116.1733,0.07320183,5,1,false,false,3.3772774,1.7343309,11.342925,-0.08548801,0.07968208,3
50.501507,0.014613398,36.586097817288305,-121.7569581639242,0,0.9575453,6123.4043,0.07684976,5,1,false,false,3.1550364,1.8061786,10.596142,-0.084172145,0.07447459,3
50.52119,0.014849155,36.586091238672665,-121.7569627454091,0,0.9577011,6120.9707,0.081227295,5,1,false,false,3.3334866,1.7965422,11.0621395,-0.08298037,0.06949559,3
50.54001,0.015084991,36.58608457012736,-121.756967326894,0,0.9575608,6125.6294,0.08025449,5,1,false,false,4.024196,1.7162035,12.504646,-0.08179881,0.07520881,3
50.557472,0.015320882,36.58607799178674,-121.7569719082084,0,0.9583086,6138.9536,0.08171366,5,1,false,false,3.4596574,1.6791884,12.410632,-0.08045667,0.08231338,3
50.574944,0.015556823,36.586071322966426,-121.7569764896933,0,0.95749855,6148.823,0.08755038,5,1,false,false,3.6450837,1.7493036,12.604348,-0.0789356,0.09163746,3
